揉む<div class="hint">rub; massage</div>,もむ,rub; massage,<ruby>肩<rt>かた</rt></ruby>を <ruby>揉<rt>も</rt></ruby>んでください。,Please massage my shoulders.,verb
制止<div class="hint">check; restraint</div>,せいし,check; restraint,<ruby>警備<rt>けいび</rt></ruby> <ruby>員<rt>いん</rt></ruby>に <ruby>写真<rt>しゃしん</rt></ruby> <ruby>撮影<rt>さつえい</rt></ruby>を <ruby>制止<rt>せいし</rt></ruby>された。,We were stopped from taking photographs by the guards.,
ルーム<div class="hint">room</div>,るーむ,room,<ruby>今<rt>いま</rt></ruby>ルームサービスを <ruby>頼<rt>たの</rt></ruby>みました。,I asked for room service.,
強行<div class="hint">enforcement; forcing</div>,きょうこう,enforcement; forcing,その <ruby>法案<rt>ほうあん</rt></ruby>は <ruby>強行<rt>きょうこう</rt></ruby> <ruby>採決<rt>さいけつ</rt></ruby>された。,The bill was forced through.,
強風<div class="hint">strong wind</div>,きょうふう,strong wind,<ruby>強風<rt>きょうふう</rt></ruby>で <ruby>木<rt>き</rt></ruby>が <ruby>倒<rt>たお</rt></ruby>れた。,The tree fell because of the strong wind.,
手引き<div class="hint">guidance; guide book</div>,てびき,guidance; guide book,まずはご <ruby>利用<rt>りよう</rt></ruby>の <ruby>手引<rt>てび</rt></ruby>きをご <ruby>覧<rt>らん</rt></ruby>ください。,First of all; please watch how to use it.,
万引き<div class="hint">shoplifting</div>,まんびき,shoplifting,<ruby>友達<rt>ともだち</rt></ruby>が <ruby>万引<rt>まんび</rt></ruby>きで <ruby>捕<rt>つか</rt></ruby>まった。,My friend was caught shoplifting.,
引力<div class="hint">gravitation</div>,いんりょく,gravitation,<ruby>潮<rt>しお</rt></ruby>の <ruby>満<rt>み</rt></ruby>ち <ruby>干<rt>ひ</rt></ruby>は <ruby>月<rt>つき</rt></ruby>の <ruby>引力<rt>いんりょく</rt></ruby>による。,The ebbing and flowing of the tide is caused by the gravity of the moon.,
見習い<div class="hint">apprentice</div>,みならい,apprentice,<ruby>私<rt>わたし</rt></ruby>はまだ <ruby>見習<rt>みなら</rt></ruby>いのコックです。,I am still an apprentice cook.,
試み<div class="hint">attempt; trial</div>,こころみ,attempt; trial,<ruby>私<rt>わたし</rt></ruby>たちは <ruby>新<rt>あたら</rt></ruby>しい <ruby>試<rt>こころ</rt></ruby>みに <ruby>挑戦<rt>ちょうせん</rt></ruby>しています。,We are trying a new challenge.,
質量<div class="hint">mass</div>,しつりょう,mass,この <ruby>物体<rt>ぶったい</rt></ruby>の <ruby>質量<rt>しつりょう</rt></ruby>を <ruby>計算<rt>けいさん</rt></ruby>しなさい。,Calculate the mass of this object.,
体質<div class="hint">physical constitution</div>,たいしつ,physical constitution,アレルギー <ruby>体質<rt>たいしつ</rt></ruby>で <ruby>卵<rt>たまご</rt></ruby>は <ruby>食<rt>た</rt></ruby>べられません。,I can't eat eggs due to allergies.,
地質<div class="hint">geological features; nature of the soil</div>,ちしつ,geological features; nature of the soil,<ruby>研究<rt>けんきゅう</rt></ruby> <ruby>班<rt>はん</rt></ruby>が <ruby>川<rt>かわ</rt></ruby>の <ruby>地質<rt>ちしつ</rt></ruby>を <ruby>調査<rt>ちょうさ</rt></ruby>している。,The research group is investigating geological features of the river.,
人質<div class="hint">hostage; prisoner</div>,ひとじち,hostage; prisoner,<ruby>犯人<rt>はんにん</rt></ruby>が <ruby>人質<rt>ひとじち</rt></ruby>を <ruby>解放<rt>かいほう</rt></ruby>した。,The criminal released the hostage.,
質屋<div class="hint">pawnshop</div>,しちや,pawnshop,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>宝石<rt>ほうせき</rt></ruby> <ruby>類<rt>るい</rt></ruby>を <ruby>質屋<rt>しちや</rt></ruby>に <ruby>入<rt>い</rt></ruby>れました。,She put some jewels in the pawnshop.,
出題<div class="hint">problem setting</div>,しゅつだい,problem setting,<ruby>今度<rt>こんど</rt></ruby>のテストは <ruby>教科書<rt>きょうかしょ</rt></ruby>から <ruby>出題<rt>しゅつだい</rt></ruby>します。,The questions for the next test will be taken from the text book.,
単行本<div class="hint">separate volume</div>,たんこうぼん,separate volume,<ruby>私<rt>わたし</rt></ruby>は <ruby>単行<rt>たんこう</rt></ruby> <ruby>本<rt>ぼん</rt></ruby>をよく <ruby>読<rt>よ</rt></ruby>みます。,I often read books.,
キー<div class="hint">key</div>,きー,key,<ruby>車<rt>くるま</rt></ruby>のキーがない。,I have no car keys.,
単一<div class="hint">simple; single; sole</div>,たんいつ,simple; single; sole,その <ruby>国<rt>くに</rt></ruby>は <ruby>単一<rt>たんいつ</rt></ruby> <ruby>民族<rt>みんぞく</rt></ruby>で <ruby>成り<ruby>立<rt>なりた</rt></ruby>っている。,The country is homogeneous.,
重複<div class="hint">duplication</div>,ちょうふく,duplication,<ruby>彼<rt>かれ</rt></ruby>の <ruby>作品<rt>さくひん</rt></ruby>の <ruby>内容<rt>ないよう</rt></ruby>はどれも <ruby>重複<rt>じゅうふく</rt></ruby>しています。,There is overlap in the content of his works.,
複合<div class="hint">composite; compound</div>,ふくごう,composite; compound,<ruby>大都市<rt>だいとし</rt></ruby>には <ruby>様々<rt>さまざま</rt></ruby>な <ruby>複合<rt>ふくごう</rt></ruby> <ruby>施設<rt>しせつ</rt></ruby>があります。,Large cities have many multipurpose facilities.,
雑<div class="hint">miscellany</div>,ざつ,miscellany,<ruby>雑<rt>ざつ</rt></ruby>な <ruby>扱<rt>あつか</rt></ruby>いは <ruby>困<rt>こま</rt></ruby>ります。,Please do not handle things roughly.,
無難<div class="hint">faultlessness; safety</div>,ぶなん,faultlessness; safety,<ruby>彼<rt>かれ</rt></ruby>は <ruby>無難<rt>ぶなん</rt></ruby>な <ruby>意見<rt>いけん</rt></ruby>しか <ruby>言<rt>い</rt></ruby>わない。,He only gives safe opinions.,
難解<div class="hint">difficult</div>,なんかい,difficult,<ruby>彼<rt>かれ</rt></ruby>は <ruby>難解<rt>なんかい</rt></ruby>な <ruby>問題<rt>もんだい</rt></ruby>に <ruby>取り<ruby>組<rt>とりく</rt></ruby>んでいます。,He is working on an obscure problem.,
点火<div class="hint">ignition; lighting</div>,てんか,ignition; lighting,<ruby>今<rt>いま</rt></ruby>ロケットに <ruby>点火<rt>てんか</rt></ruby>しました。,I have lit the rocket now.,
難点<div class="hint">difficult point; weakness</div>,なんてん,difficult point; weakness,この <ruby>家<rt>いえ</rt></ruby>は <ruby>都心<rt>としん</rt></ruby>から <ruby>遠<rt>とお</rt></ruby>いのが <ruby>難点<rt>なんてん</rt></ruby>だ。,It's a drawback that this house is so far from the city center.,
数量<div class="hint">quantity; volume</div>,すうりょう,quantity; volume,<ruby>在庫<rt>ざいこ</rt></ruby>の <ruby>数量<rt>すうりょう</rt></ruby>を <ruby>確認<rt>かくにん</rt></ruby>しましょう。,Shall we check the stock levels?,
大多数<div class="hint">greater part; majority</div>,だいたすう,greater part; majority,<ruby>住民<rt>じゅうみん</rt></ruby>の <ruby>大<rt>だい</rt></ruby> <ruby>多数<rt>たすう</rt></ruby>は <ruby>計画<rt>けいかく</rt></ruby>に <ruby>賛成<rt>さんせい</rt></ruby>だった。,A large majority of residents agreed with the plan.,
分数<div class="hint">fraction</div>,ぶんすう,fraction,<ruby>最近<rt>さいきん</rt></ruby> <ruby>息子<rt>むすこ</rt></ruby>は <ruby>分数<rt>ぶんすう</rt></ruby>の <ruby>計算<rt>けいさん</rt></ruby>を <ruby>覚<rt>おぼ</rt></ruby>えた。,Recently; my son learnt calculation of fractions.,
数値<div class="hint">numerical value</div>,すうち,numerical value,その <ruby>数値<rt>すうち</rt></ruby>をこのセルに <ruby>入力<rt>にゅうりょく</rt></ruby>して <ruby>下<rt>くだ</rt></ruby>さい。,Please input the numerical value in this cell.,
半数<div class="hint">half the number</div>,はんすう,half the number,クラスの <ruby>半数<rt>はんすう</rt></ruby>がインフルエンザにかかった。,Half the class caught flu.,
小数点<div class="hint">decimal point</div>,しょうすうてん,decimal point,<ruby>小数点<rt>しょうすうてん</rt></ruby> <ruby>以下<rt>いか</rt></ruby>は <ruby>切り<ruby>捨<rt>きりす</rt></ruby>てています。,It is rounded off to the decimal point.,
スクール<div class="hint">school</div>,すくーる,school,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>週<rt>しゅう</rt></ruby><ruby>一 <ruby>回<rt>かい</rt></ruby>カルチャースクールに <ruby>通<rt>かよ</rt></ruby>っている。,She attends a culture school once a week.,
回帰<div class="hint">recurrence; revolution</div>,かいき,recurrence; revolution,<ruby>鮭<rt>さけ</rt></ruby>には <ruby>回帰<rt>かいき</rt></ruby> <ruby>本能<rt>ほんのう</rt></ruby>がある。,Salmon instinctively return to their breeding ground.,
個<div class="hint">individual</div>,こ,individual,リンゴを 6 <ruby>個<rt>こ</rt></ruby> <ruby>買<rt>か</rt></ruby>ってきてください。,Please buy six apples.,
勝る<div class="hint">be better than; excel</div>,まさる,be better than; excel,<ruby>子供<rt>こども</rt></ruby>の <ruby>誕生<rt>たんじょう</rt></ruby>は <ruby>何<rt>なに</rt></ruby>にも <ruby>勝<rt>まさ</rt></ruby>る <ruby>喜<rt>よろこ</rt></ruby>びだった。,The birth of my child was the happiest thing bar none.,
負う<div class="hint">bear on the back; take upon yourself</div>,おう,bear on the back; take upon yourself,<ruby>彼<rt>かれ</rt></ruby>は <ruby>取締役<rt>とりしまりやく</rt></ruby>として <ruby>大<rt>おお</rt></ruby>きな <ruby>責任<rt>せきにん</rt></ruby>を <ruby>負<rt>お</rt></ruby>っている。,He assumes a big responsibility as a director.,
担う<div class="hint">bear on one's shoulder; undertake</div>,になう,bear on one's shoulder; undertake,<ruby>子供<rt>こども</rt></ruby>たちが <ruby>日本<rt>にほん</rt></ruby>の <ruby>将来<rt>しょうらい</rt></ruby>を <ruby>担<rt>にな</rt></ruby>っています。,Children bear the future of Japan on their shoulders.,
不当<div class="hint">unfair; unreasonable</div>,ふとう,unfair; unreasonable,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>職場<rt>しょくば</rt></ruby>で <ruby>不当<rt>ふとう</rt></ruby>な <ruby>扱<rt>あつか</rt></ruby>いを <ruby>受<rt>う</rt></ruby>け <ruby>腹<rt>はら</rt></ruby>を <ruby>立<rt>た</rt></ruby>てた。,She was furious as she was being treated unfairly at work.,
配当<div class="hint">apportionment</div>,はいとう,apportionment,<ruby>株主<rt>かぶぬし</rt></ruby>に <ruby>利益<rt>りえき</rt></ruby>が <ruby>配当<rt>はいとう</rt></ruby>された。,The profit was divided among the shareholders.,
当て<div class="hint">aim; hopes</div>,あて,aim; hopes,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>余<rt>あま</rt></ruby>り <ruby>当<rt>あ</rt></ruby>てにできない。,One cannot rely on her very much.,
目当て<div class="hint">aim; guide</div>,めあて,aim; guide,<ruby>彼<rt>かれ</rt></ruby>は <ruby>賞金<rt>しょうきん</rt></ruby>を <ruby>目当<rt>めあ</rt></ruby>てにコンペに <ruby>参加<rt>さんか</rt></ruby>した。,He entered the competition with his eye on the prize money.,
当てはまる<div class="hint">apply; fit in</div>,あてはまる,apply; fit in,<ruby>私<rt>わたし</rt></ruby>の <ruby>性格<rt>せいかく</rt></ruby>はこのタイプに <ruby>当<rt>あ</rt></ruby>てはまる。,My personality conforms to this type.,
未然<div class="hint">in advance</div>,みぜん,in advance,<ruby>病気<rt>びょうき</rt></ruby>を <ruby>未然<rt>みぜん</rt></ruby>に <ruby>防<rt>ふせ</rt></ruby>ぐのは <ruby>簡単<rt>かんたん</rt></ruby>ではない。,It is not easy to prevent sickness beforehand.,
合法<div class="hint">legality; legitimacy</div>,ごうほう,legality; legitimacy,<ruby>彼<rt>かれ</rt></ruby>のしたことは <ruby>合法<rt>ごうほう</rt></ruby>です。,The thing he did is lawful.,
法人<div class="hint">corporation</div>,ほうじん,corporation,<ruby>当<rt>とう</rt></ruby>サイトは <ruby>法人<rt>ほうじん</rt></ruby>のお <ruby>客様<rt>きゃくさま</rt></ruby> <ruby>向<rt>む</rt></ruby>けです。,This site is for corporate customers.,
無法<div class="hint">lawless</div>,むほう,lawless,あの <ruby>連中<rt>れんちゅう</rt></ruby>は <ruby>無法<rt>むほう</rt></ruby>な <ruby>振る<ruby>舞<rt>ふるま</rt></ruby>いばかりするので <ruby>気<rt>き</rt></ruby>を <ruby>付<rt>つ</rt></ruby>けてください。,Be careful; that crowd does nothing but flout the law.,
テクノロジー<div class="hint">technology</div>,てくはろじー,technology,この <ruby>新<rt>しん</rt></ruby> <ruby>製品<rt>せいひん</rt></ruby>には <ruby>最新<rt>さいしん</rt></ruby>のテクノロジーが <ruby>使<rt>つか</rt></ruby>われている。,The latest technology is used for this new product.,
法学<div class="hint">jurisprudence; law</div>,ほうがく,jurisprudence; law,<ruby>彼<rt>かれ</rt></ruby>は <ruby>大学<rt>だいがく</rt></ruby>で <ruby>法学<rt>ほうがく</rt></ruby>を <ruby>専攻<rt>せんこう</rt></ruby>しました。,He majored in law at the university.,
不法<div class="hint">unlawfulness</div>,ふほう,unlawfulness,<ruby>彼<rt>かれ</rt></ruby>は <ruby>不法<rt>ふほう</rt></ruby> <ruby>滞在<rt>たいざい</rt></ruby>でつかまった。,He was caught as an illegal resident.,
新規<div class="hint">newly</div>,しんき,newly,<ruby>新規<rt>しんき</rt></ruby>の <ruby>口座<rt>こうざ</rt></ruby>を <ruby>開<rt>ひら</rt></ruby>きたいのですが。,I want to open a new account.,
法規<div class="hint">laws and regulations</div>,ほうき,laws and regulations,<ruby>免許<rt>めんきょ</rt></ruby>を <ruby>取<rt>と</rt></ruby>る <ruby>際<rt>さい</rt></ruby> <ruby>交通<rt>こうつう</rt></ruby> <ruby>法規<rt>ほうき</rt></ruby>をよく <ruby>理解<rt>りかい</rt></ruby>することは <ruby>大切<rt>たいせつ</rt></ruby>だ。,When you get your license; it is important to have a good understanding of the traffic regulations.,
規律<div class="hint">order; regulation</div>,きりつ,order; regulation,<ruby>彼<rt>かれ</rt></ruby>は <ruby>職場<rt>しょくば</rt></ruby>の <ruby>規律<rt>きりつ</rt></ruby>を <ruby>学<rt>まな</rt></ruby>ぶ <ruby>必要<rt>ひつよう</rt></ruby>がある。,He needs to learn the office rules.,
施行<div class="hint">enforcement; execution</div>,しこう,enforcement; execution,<ruby>新法<rt>しんぽう</rt></ruby>は <ruby>来年<rt>らいねん</rt></ruby>から <ruby>施行<rt>しこう</rt></ruby>されます。,The new law will be enforced from next year.,
施す<div class="hint">conduct; give alms</div>,ほどこす,conduct; give alms,その <ruby>医者<rt>いしゃ</rt></ruby>は <ruby>適切<rt>てきせつ</rt></ruby>な <ruby>治療<rt>ちりょう</rt></ruby>を <ruby>施<rt>ほどこ</rt></ruby>した。,The doctor gave me appropriate treatment.,
経理<div class="hint">accounting</div>,けいり,accounting,<ruby>支払<rt>しはら</rt></ruby>いは <ruby>経理<rt>けいり</rt></ruby>にお <ruby>願<rt>ねが</rt></ruby>いしました。,I asked accounting for payment.,
経度<div class="hint">longitude</div>,けいど,longitude,<ruby>日本<rt>にほん</rt></ruby>とオーストラリアはほぼ <ruby>同<rt>おな</rt></ruby>じ <ruby>経度<rt>けいど</rt></ruby>にある。,Japan and Australia are at about the same longitude.,
都営<div class="hint">administered by the metropolitan government</div>,とえい,administered by the metropolitan government,<ruby>私<rt>わたし</rt></ruby>は <ruby>都営<rt>とえい</rt></ruby> <ruby>住宅<rt>じゅうたく</rt></ruby>に <ruby>住<rt>す</rt></ruby>んでいます。,I live in a Tokyo public housing complex.,
国営<div class="hint">government-managed</div>,こくえい,government-managed,ここは <ruby>国営<rt>こくえい</rt></ruby>の <ruby>公園<rt>こうえん</rt></ruby>です。,This is a park administered by the government.,
営む<div class="hint">manage; operate</div>,いとなむ,manage; operate,<ruby>彼<rt>かれ</rt></ruby>は <ruby>飲食<rt>いんしょく</rt></ruby> <ruby>店<rt>てん</rt></ruby>を <ruby>営<rt>いとな</rt></ruby>んでいる。,He is managing the restaurant.,
様式<div class="hint">mode; style</div>,ようしき,mode; style,<ruby>私<rt>わたし</rt></ruby>は <ruby>中国<rt>ちゅうごく</rt></ruby>の <ruby>生活<rt>せいかつ</rt></ruby> <ruby>様式<rt>ようしき</rt></ruby>に <ruby>興味<rt>きょうみ</rt></ruby>があります。,I am interested in the everyday life of China.,
林業<div class="hint">forestry</div>,りんぎょう,forestry,この <ruby>地方<rt>ちほう</rt></ruby>は <ruby>林業<rt>りんぎょう</rt></ruby>が <ruby>盛<rt>さか</rt></ruby>んです。,Forestry is booming in this region.,
重工業<div class="hint">heavy industry</div>,じゅうこうぎょう,heavy industry,<ruby>重工業<rt>じゅうこうぎょう</rt></ruby>はこの <ruby>県<rt>けん</rt></ruby>の <ruby>主要<rt>しゅよう</rt></ruby>な <ruby>産業<rt>さんぎょう</rt></ruby>です。,Heavy industry is the main industry of this prefecture.,
ホール<div class="hint">hall; hole</div>,ばーる,hall; hole,このホールは <ruby>音<rt>おと</rt></ruby>がよく <ruby>響<rt>ひび</rt></ruby>きます。,Sounds carry well in that hall.,
勝利<div class="hint">triumph; victory</div>,しょうり,triumph; victory,チームの <ruby>全員<rt>ぜんいん</rt></ruby>が <ruby>勝利<rt>しょうり</rt></ruby>を <ruby>喜<rt>よろこ</rt></ruby>んだ。,All members of the team were pleased with the victory.,
営利<div class="hint">gain; profit</div>,えいり,gain; profit,この <ruby>情報<rt>じょうほう</rt></ruby>を <ruby>営利<rt>えいり</rt></ruby> <ruby>目的<rt>もくてき</rt></ruby>で <ruby>使用<rt>しよう</rt></ruby>することは <ruby>禁<rt>きん</rt></ruby>じられています。,It is prohibited to use this information for profit-making purposes.,
不利益<div class="hint">disadvantage</div>,ふりえき,disadvantage,<ruby>会社<rt>かいしゃ</rt></ruby>の <ruby>不利益<rt>ふりえき</rt></ruby>になる <ruby>事<rt>こと</rt></ruby>はしないでください。,Don't do anything injurious to the company.,
回収<div class="hint">collection; withdrawal</div>,かいしゅう,collection; withdrawal,<ruby>資源<rt>しげん</rt></ruby>の <ruby>回収<rt>かいしゅう</rt></ruby>にご <ruby>協力<rt>きょうりょく</rt></ruby>ください。,Please cooperate in the collection of resources.,
収まる<div class="hint">be put in place; cool down</div>,おさまる,be put in place; cool down,<ruby>警官<rt>けいかん</rt></ruby>が <ruby>来<rt>き</rt></ruby>て <ruby>騒<rt>さわ</rt></ruby>ぎが <ruby>収<rt>おさ</rt></ruby>まった。,The police came and calmed the situation down.,
技<div class="hint">skill</div>,わざ,skill,<ruby>彼<rt>かれ</rt></ruby>の <ruby>柔道<rt>じゅうどう</rt></ruby>の <ruby>技<rt>わざ</rt></ruby>は <ruby>日本一<rt>にほんいち</rt></ruby>です。,His judo technique is the best in Japan.,
技能<div class="hint">ability; skill</div>,ぎのう,ability; skill,<ruby>彼<rt>かれ</rt></ruby>は <ruby>高<rt>たか</rt></ruby>い <ruby>技能<rt>ぎのう</rt></ruby>を <ruby>身<rt>み</rt></ruby>につけている。,He is acquiring high skills.,
芸能<div class="hint">public entertainment</div>,げいのう,public entertainment,それは <ruby>最新<rt>さいしん</rt></ruby>の <ruby>芸能<rt>げいのう</rt></ruby>ニュースだ。,This is the latest show business news.,
芸能人<div class="hint">celebrity</div>,げいのうじん,celebrity,<ruby>町<rt>まち</rt></ruby>で <ruby>芸能人<rt>げいのうじん</rt></ruby>を <ruby>見<rt>み</rt></ruby>かけた。,I saw a celebrity in town.,
工芸<div class="hint">technical art</div>,こうげい,technical art,<ruby>工芸<rt>こうげい</rt></ruby>には <ruby>細<rt>こま</rt></ruby>かい <ruby>手作業<rt>てさぎょう</rt></ruby>が <ruby>必要<rt>ひつよう</rt></ruby>です。,Detailed work by hand is required for crafts.,
文芸<div class="hint">literary art</div>,ぶんげい,literary art,<ruby>姉<rt>あね</rt></ruby>はよく <ruby>文芸<rt>ぶんげい</rt></ruby> <ruby>雑誌<rt>ざっし</rt></ruby>を <ruby>読<rt>よ</rt></ruby>んでいます。,My older sister often reads literary journals.,
芸<div class="hint">art; trick</div>,げい,art; trick,<ruby>宴会<rt>えんかい</rt></ruby>で <ruby>芸<rt>げい</rt></ruby>を <ruby>見<rt>み</rt></ruby>せなければなりません。,You must show us your tricks at the party.,
人造<div class="hint">artificial; man-made</div>,じんぞう,artificial; man-made,その <ruby>美<rt>うつく</rt></ruby>しい <ruby>湖<rt>みずうみ</rt></ruby>は <ruby>実<rt>じつ</rt></ruby>は <ruby>人造湖<rt>じんぞうこ</rt></ruby>だ。,That beautiful lake is actually artificial.,
必読<div class="hint">essential reading</div>,ひつどく,essential reading,その <ruby>本<rt>ほん</rt></ruby>は <ruby>必読<rt>ひつどく</rt></ruby>です。,This book is an essential read.,
シート<div class="hint">seat; sheet</div>,しーと,seat; sheet,あの <ruby>表<rt>ひょう</rt></ruby> <ruby>計算<rt>けいさん</rt></ruby>のシートはどこにありますか。,Where is that spreadsheet?,
要<div class="hint">main point; pivot</div>,かなめ,main point; pivot,<ruby>彼<rt>かれ</rt></ruby>はチームの <ruby>要<rt>かなめ</rt></ruby>だ。,He is a pillar of the team.,
強要<div class="hint">coercion; extortion</div>,きょうよう,coercion; extortion,<ruby>上司<rt>じょうし</rt></ruby>が <ruby>飲<rt>の</rt></ruby>み <ruby>会<rt>かい</rt></ruby>への <ruby>参加<rt>さんか</rt></ruby>を <ruby>強要<rt>きょうよう</rt></ruby>した。,The boss urged us to join the party.,
請求<div class="hint">demand; request</div>,せいきゅう,demand; request,<ruby>身<rt>み</rt></ruby>に <ruby>覚<rt>おぼ</rt></ruby>えのない <ruby>通話<rt>つうわ</rt></ruby> <ruby>料<rt>りょう</rt></ruby>を <ruby>請求<rt>せいきゅう</rt></ruby>された。,I was charged for calls I can't remember making.,
生計<div class="hint">livelihood; living</div>,せいけい,livelihood; living,<ruby>彼<rt>かれ</rt></ruby>は <ruby>株<rt>かぶ</rt></ruby>で <ruby>生計<rt>せいけい</rt></ruby>を <ruby>立<rt>た</rt></ruby>てている。,He is making a living by stocks.,
決算<div class="hint">settlement of accounts</div>,けっさん,settlement of accounts,<ruby>今月<rt>こんげつ</rt></ruby>は <ruby>決算<rt>けっさん</rt></ruby>のため <ruby>大変<rt>たいへん</rt></ruby> <ruby>忙<rt>いそが</rt></ruby>しい。,I am very busy this month due to closing the financial books.,
算数<div class="hint">arithmetic</div>,さんすう,arithmetic,<ruby>小学校<rt>しょうがっこう</rt></ruby>の <ruby>頃<rt>ころ</rt></ruby>から <ruby>算数<rt>さんすう</rt></ruby>は <ruby>得意<rt>とくい</rt></ruby>でした。,I was good at arithmetic from elementary school onwards.,
交差<div class="hint">crossing; intersection</div>,こうさ,crossing; intersection,この <ruby>先<rt>さき</rt></ruby>で <ruby>広<rt>ひろ</rt></ruby>い <ruby>道<rt>みち</rt></ruby>が <ruby>交差<rt>こうさ</rt></ruby>しています。,There is an intersection with a wide road ahead.,
分割<div class="hint">division; partition</div>,ぶんかつ,division; partition,<ruby>代金<rt>だいきん</rt></ruby>は <ruby>分割<rt>ぶんかつ</rt></ruby>で <ruby>支払<rt>しはら</rt></ruby>います。,I am paying the price in installments.,
残高<div class="hint">balance; remainder</div>,ざんだか,balance; remainder,ATMで <ruby>預金<rt>よきん</rt></ruby>の <ruby>残高<rt>ざんだか</rt></ruby>を <ruby>調<rt>しら</rt></ruby>べた。,I looked up the balance of my savings account at the ATM.,
支える<div class="hint">maintain; support</div>,つかえる,maintain; support,<ruby>最近<rt>さいきん</rt></ruby> <ruby>胃<rt>い</rt></ruby>がつかえる <ruby>感<rt>かん</rt></ruby>じがする。,Recently; my stomach feels heavy.,
支局<div class="hint">branch office</div>,しきょく,branch office,<ruby>彼<rt>かれ</rt></ruby>は <ruby>支局<rt>しきょく</rt></ruby>へ <ruby>異動<rt>いどう</rt></ruby>になった。,He was transferred to a branch office.,
前払い<div class="hint">advance payment; up front payment</div>,まえばらい,advance payment; up front payment,<ruby>代金<rt>だいきん</rt></ruby>は <ruby>前払<rt>まえばら</rt></ruby>いです。,Payments must be made in advance.,
返済<div class="hint">repayment</div>,へんさい,repayment,<ruby>借金<rt>しゃっきん</rt></ruby>をすべて <ruby>返済<rt>へんさい</rt></ruby>しました。,I repaid all the debts.,
返上<div class="hint">return</div>,へんじょう,return,<ruby>忙<rt>いそが</rt></ruby>しいので <ruby>休日<rt>きゅうじつ</rt></ruby>を <ruby>返上<rt>へんじょう</rt></ruby>して <ruby>仕事<rt>しごと</rt></ruby>をした。,It was busy so I gave up my days off and went to work.,
ヒット<div class="hint">hit; popularity</div>,ひっと,hit; popularity,これは <ruby>我<rt>わ</rt></ruby>が <ruby>社<rt>しゃ</rt></ruby>のヒット <ruby>商品<rt>しょうひん</rt></ruby>です。,This is our hot product.,
貸借<div class="hint">debt and credit; loan</div>,たいしゃく,debt and credit; loan,<ruby>金銭<rt>きんせん</rt></ruby>の <ruby>貸借<rt>たいしゃく</rt></ruby>をする <ruby>際<rt>さい</rt></ruby>は <ruby>契約<rt>けいやく</rt></ruby> <ruby>書<rt>しょ</rt></ruby>を <ruby>作成<rt>さくせい</rt></ruby>するべきだ。,It's necessary to make a contract when lending or borrowing money.,
申告<div class="hint">report; statement</div>,しんこく,report; statement,その <ruby>会社<rt>かいしゃ</rt></ruby>は <ruby>破産<rt>はさん</rt></ruby>を <ruby>申告<rt>しんこく</rt></ruby>した。,The company declared bankruptcy.,
取り込む<div class="hint">take in</div>,とりこむ,take in,コンピュータにデータを <ruby>取り<ruby>込<rt>とりこ</rt></ruby>んだ。,Data was imported into the computer.,
期末<div class="hint">end of term</div>,きまつ,end of term,もうすぐ <ruby>期末<rt>きまつ</rt></ruby>のテストがある。,We have end-of-term tests soon.,
末期<div class="hint">closing years; final stage</div>,まっき,closing years; final stage,20 <ruby>世紀<rt>せいき</rt></ruby> <ruby>末期<rt>まっき</rt></ruby>は IT <ruby>革命<rt>かくめい</rt></ruby>の <ruby>時代<rt>じだい</rt></ruby>だった。,The end of the 20th century was the time of the IT revolution.,
夏期<div class="hint">summer; summertime</div>,かき,summer; summertime,<ruby>夏期<rt>かき</rt></ruby> <ruby>講習<rt>こうしゅう</rt></ruby>に <ruby>申し<ruby>込<rt>もうしこ</rt></ruby>んだ。,I applied for the summer course.,
雨期<div class="hint">rainy season</div>,うき,rainy season,<ruby>日本<rt>にほん</rt></ruby>の <ruby>雨期<rt>うき</rt></ruby>は <ruby>六月<rt>ろくがつ</rt></ruby> <ruby>頃<rt>ごろ</rt></ruby>です。,The Japanese rainy season is around June.,
最期<div class="hint">one's last moments</div>,さいご,one's last moments,ナポレオンの <ruby>最期<rt>さいご</rt></ruby>はさみしいものだった。,Napoleon's death was a lonely one.,
最大限<div class="hint">greatest; maximum</div>,さいだいげん,greatest; maximum,<ruby>私<rt>わたし</rt></ruby>は <ruby>最大限<rt>さいだいげん</rt></ruby>の <ruby>努力<rt>どりょく</rt></ruby>をしたつもりです。,I intended to make the maximum effort.,
最小限<div class="hint">minimum</div>,さいしょうげん,minimum,<ruby>旅行<rt>りょこう</rt></ruby>の <ruby>荷物<rt>にもつ</rt></ruby>は <ruby>最小限<rt>さいしょうげん</rt></ruby>にしなさい。,Travel as light as possible.,
無期限<div class="hint">indefinite</div>,むきげん,indefinite,<ruby>組合<rt>くみあい</rt></ruby>は <ruby>無<rt>む</rt></ruby> <ruby>期限<rt>きげん</rt></ruby>のストに <ruby>突入<rt>とつにゅう</rt></ruby>した。,The union entered into an indefinite strike.,
急性<div class="hint">acute</div>,きゅうせい,acute,<ruby>彼<rt>かれ</rt></ruby>は <ruby>急性<rt>きゅうせい</rt></ruby>アルコール <ruby>中毒<rt>ちゅうどく</rt></ruby>になってしまった。,He has acute alcoholism.,
