無料<div class="hint">no charge; free</div>,むりょう,no charge; free,お <ruby>飲<rt>の</rt></ruby>み <ruby>物<rt>もの</rt></ruby>は <ruby>無料<rt>むりょう</rt></ruby>でございます。,Beverages are free of charge.,noun
制度<div class="hint">system</div>,せいど,system,<ruby>来年<rt>らいねん</rt></ruby>から <ruby>新<rt>あたら</rt></ruby>しい <ruby>制度<rt>せいど</rt></ruby>が <ruby>始<rt>はじ</rt></ruby>まります。,A new system will start from next year.,noun
ぶつぶつ<div class="hint">in a mutter; mumble</div>,ぶつぶつ,in a mutter; mumble,<ruby>彼<rt>かれ</rt></ruby>はぶつぶつと <ruby>独<rt>ひと</rt></ruby>り <ruby>言<rt>ごと</rt></ruby>を <ruby>言<rt>い</rt></ruby>ったんだ。,He mumbled to himself.,adverb
体制<div class="hint">system; structure</div>,たいせい,system; structure,<ruby>政治<rt>せいじ</rt></ruby>の <ruby>体制<rt>たいせい</rt></ruby>を <ruby>変<rt>か</rt></ruby>える <ruby>必要<rt>ひつよう</rt></ruby>があります。,We need to change the political system.,noun
心強い<div class="hint">reassuring; heartening</div>,こころづよい,reassuring; heartening,あなたが <ruby>一緒<rt>いっしょ</rt></ruby>にいてくれると <ruby>心強<rt>こころづよ</rt></ruby>い。,I feel reassured when you are with me.,adjective
強力<div class="hint">powerful</div>,きょうりょく,powerful,これは <ruby>強力<rt>きょうりょく</rt></ruby>な <ruby>接着<rt>せっちゃく</rt></ruby> <ruby>剤<rt>ざい</rt></ruby>ね。,This is a powerful adhesive stick.,adjectival noun
力強い<div class="hint">powerful; vigorous</div>,ちからづよい,powerful; vigorous,<ruby>彼<rt>かれ</rt></ruby>は <ruby>力強<rt>ちからづよ</rt></ruby>い <ruby>演技<rt>えんぎ</rt></ruby>をするね。,His performance is powerful.,adjective
取引<div class="hint">transaction; deal</div>,とりひき,transaction; deal,<ruby>私<rt>わたし</rt></ruby>たちは <ruby>中国<rt>ちゅうごく</rt></ruby>の <ruby>会社<rt>かいしゃ</rt></ruby>と <ruby>取引<rt>とりひき</rt></ruby>しています。,We're dealing with a Chinese company.,verbal noun
すっと<div class="hint">(feel) refreshed; satisfied</div>,すっと,(feel) refreshed; satisfied,<ruby>言<rt>い</rt></ruby>いたいことを <ruby>言<rt>い</rt></ruby>ったら <ruby>胸<rt>むね</rt></ruby>がすっとした。,I felt satisfied after saying what I wanted to say.,adverb
長引く<div class="hint">be prolonged; drag on</div>,ながびく,be prolonged; drag on,<ruby>会議<rt>かいぎ</rt></ruby>が <ruby>長引<rt>ながび</rt></ruby>いているようです。,The meeting seems to be dragging on.,verb
引用<div class="hint">quotation; citation</div>,いんよう,quotation; citation,<ruby>論文<rt>ろんぶん</rt></ruby>にその <ruby>本<rt>ほん</rt></ruby>を <ruby>引用<rt>いんよう</rt></ruby>したの。,I quoted the book in my thesis.,verbal noun
引き出す<div class="hint">draw out; bring out</div>,ひきだす,draw out; bring out,<ruby>先生<rt>せんせい</rt></ruby>が <ruby>私<rt>わたし</rt></ruby>の <ruby>能力<rt>のうりょく</rt></ruby>を <ruby>引<rt>ひ</rt></ruby>き <ruby>出<rt>だ</rt></ruby>してくれました。,The teacher drew out the best of my ability.,verb
強引<div class="hint">coercive; persistent</div>,ごういん,coercive; persistent,<ruby>友人<rt>ゆうじん</rt></ruby>の <ruby>強引<rt>ごういん</rt></ruby>な <ruby>誘<rt>さそ</rt></ruby>いを <ruby>断<rt>ことわ</rt></ruby>れませんでした。,I couldn't decline my friend's persistent offer.,adjectival noun
学習<div class="hint">study; learning</div>,がくしゅう,study; learning,<ruby>今日<rt>きょう</rt></ruby>は <ruby>野外<rt>やがい</rt></ruby>で <ruby>学習<rt>がくしゅう</rt></ruby>した。,We studied outdoors today.,verbal noun
にっこり<div class="hint">smiling</div>,にっこり,smiling,<ruby>彼女<rt>かのじょ</rt></ruby>はにっこりほほえんだ。,She had a smile on her face.,adverb
試合<div class="hint">match; game</div>,しあい,match; game,<ruby>明日<rt>あした</rt></ruby>の <ruby>試合<rt>しあい</rt></ruby>は <ruby>何<rt>なん</rt></ruby> <ruby>時<rt>じ</rt></ruby>からですか。,What time is the game tomorrow?,verbal noun
試す<div class="hint">try; test</div>,ためす,try; test,<ruby>彼<rt>かれ</rt></ruby>はそのソフトウェアを <ruby>試<rt>ため</rt></ruby>したの。,He tested the software.,verb
試し<div class="hint">try-on; (by) way of experiment</div>,ためし,try-on; (by) way of experiment,<ruby>試<rt>ため</rt></ruby>しにこの <ruby>曲<rt>きょく</rt></ruby>を <ruby>弾<rt>ひ</rt></ruby>いてみてください。,Play this tune; by way of experiment.,noun
体験<div class="hint">personal experience</div>,たいけん,personal experience,<ruby>今日<rt>きょう</rt></ruby>、 <ruby>珍<rt>めずら</rt></ruby>しい <ruby>体験<rt>たいけん</rt></ruby>をしました。,Today; I had an unusual experience.,verbal noun
受験<div class="hint">take an examination</div>,じゅけん,take an examination,<ruby>日本語<rt>にほんご</rt></ruby> <ruby>能力<rt>のうりょく</rt></ruby> <ruby>試験<rt>しけん</rt></ruby>を <ruby>受験<rt>じゅけん</rt></ruby>したんだ。,I took the Japanese proficiency test.,verbal noun
けち<div class="hint">stingy; miser</div>,けち,stingy; miser,<ruby>彼<rt>かれ</rt></ruby>は <ruby>金持<rt>かねも</rt></ruby>ちだけど、けちね。,He is rich but stingy.,adjectival noun
質<div class="hint">quality</div>,しつ,quality,<ruby>量<rt>りょう</rt></ruby>より <ruby>質<rt>しつ</rt></ruby>の <ruby>方<rt>ほう</rt></ruby>が <ruby>大事<rt>だいじ</rt></ruby>です。,Quality is more important than quantity.,noun
物質<div class="hint">matter; substance</div>,ぶっしつ,matter; substance,この <ruby>製品<rt>せいひん</rt></ruby>は <ruby>有害<rt>ゆうがい</rt></ruby>な <ruby>化学<rt>かがく</rt></ruby> <ruby>物質<rt>ぶっしつ</rt></ruby>を <ruby>含<rt>ふく</rt></ruby>んでいるわよ。,This product contains a harmful substance.,noun
性質<div class="hint">nature; property</div>,せいしつ,nature; property,この <ruby>犬<rt>いぬ</rt></ruby>は <ruby>穏<rt>おだ</rt></ruby>やかな <ruby>性質<rt>せいしつ</rt></ruby>だよ。,This dog has a calm nature.,noun
問い合わせる<div class="hint">inquire; ask for (information)</div>,といあわせる,inquire; ask for (information),<ruby>保険<rt>ほけん</rt></ruby> <ruby>会社<rt>がいしゃ</rt></ruby>に <ruby>問<rt>と</rt></ruby>い <ruby>合<rt>あ</rt></ruby>わせます。,I'll inquire with my insurance company.,verb
くしゃみ<div class="hint">sneeze</div>,くしゃみ,sneeze,<ruby>風邪<rt>かぜ</rt></ruby>でくしゃみが <ruby>止<rt>と</rt></ruby>まりません。,I can't stop sneezing because of my cold.,verbal noun
学問<div class="hint">learning; scholarship</div>,がくもん,learning; scholarship,<ruby>彼<rt>かれ</rt></ruby>は <ruby>少年<rt>しょうねん</rt></ruby>の <ruby>頃<rt>ころ</rt></ruby>から <ruby>学問<rt>がくもん</rt></ruby>が <ruby>好<rt>す</rt></ruby>きでした。,He's liked to learn ever since he was a little boy.,verbal noun
問い<div class="hint">question; inquiry</div>,とい,question; inquiry,この <ruby>問<rt>と</rt></ruby>いに <ruby>答<rt>こた</rt></ruby>えられますか。,Can you answer this question?,noun
話題<div class="hint">topic of conversation; being talked about</div>,わだい,topic of conversation; being talked about,ここが <ruby>話題<rt>わだい</rt></ruby>のレストランです。,This is the restaurant everyone is talking about.,noun
題<div class="hint">title; topic</div>,だい,title; topic,その <ruby>曲<rt>きょく</rt></ruby>の <ruby>題<rt>だい</rt></ruby>を <ruby>思<rt>おも</rt></ruby>い <ruby>出<rt>だ</rt></ruby>せません。,I can't remember the title of the piece.,noun
題名<div class="hint">title</div>,だいめい,title,この <ruby>本<rt>ほん</rt></ruby>の <ruby>題名<rt>だいめい</rt></ruby>は「 <ruby>坊<rt>ぼっ</rt></ruby>ちゃん」です。,The title of this book is "Botchan".,noun
だらしない<div class="hint">untidy; sloppy</div>,だらしない,untidy; sloppy,だらしない <ruby>格好<rt>かっこう</rt></ruby>をしないでください。,Please don't dress sloppily.,adjective
単に<div class="hint">simply; just</div>,たんに,simply; just,<ruby>心配<rt>しんぱい</rt></ruby>しないで、 <ruby>単<rt>たん</rt></ruby>に <ruby>眠<rt>ねむ</rt></ruby>いだけです。,Don't worry; I'm just sleepy.,adverb
単語<div class="hint">word</div>,たんご,word,<ruby>日本語<rt>にほんご</rt></ruby>の <ruby>単語<rt>たんご</rt></ruby>をいくつ <ruby>知<rt>し</rt></ruby>っていますか。,How many Japanese words do you know?,noun
点<div class="hint">point (of concern); dot</div>,てん,point (of concern); dot,その <ruby>点<rt>てん</rt></ruby>は <ruby>心配<rt>しんぱい</rt></ruby>ありません。,You don't need to worry about that.,noun
重点<div class="hint">important point; emphasis</div>,じゅうてん,important point; emphasis,<ruby>子供<rt>こども</rt></ruby>の <ruby>自主<rt>じしゅ</rt></ruby> <ruby>性<rt>せい</rt></ruby>に <ruby>重点<rt>じゅうてん</rt></ruby>を <ruby>置<rt>お</rt></ruby>いています。,I put emphasis on children's self-initiative.,noun
地点<div class="hint">spot; point</div>,ちてん,spot; point,もうすぐ <ruby>目標<rt>もくひょう</rt></ruby>の <ruby>地点<rt>ちてん</rt></ruby>に <ruby>到達<rt>とうたつ</rt></ruby>します。,We'll soon be arriving at our destination.,noun
いらいら<div class="hint">be irritated</div>,いらいら,be irritated,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>朝<rt>あさ</rt></ruby>からいらいらしている。,She's been feeling irritated since this morning.,adverb
満点<div class="hint">perfect score</div>,まんてん,perfect score,<ruby>国語<rt>こくご</rt></ruby>のテストは <ruby>満点<rt>まんてん</rt></ruby>でした。,I got a perfect score on the Japanese test.,noun
弱点<div class="hint">weak point; weakness</div>,じゃくてん,weak point; weakness,<ruby>彼<rt>かれ</rt></ruby>の <ruby>弱点<rt>じゃくてん</rt></ruby>はスタミナが <ruby>足<rt>た</rt></ruby>りないところです。,The lack of stamina is his weakness.,noun
人数<div class="hint">number of people</div>,にんずう,number of people,<ruby>参加<rt>さんか</rt></ruby> <ruby>者<rt>しゃ</rt></ruby>の <ruby>人数<rt>にんずう</rt></ruby>を <ruby>教<rt>おし</rt></ruby>えてください。,Please tell me the number of participants.,noun
複数<div class="hint">some; several</div>,ふくすう,some; several,<ruby>複数<rt>ふくすう</rt></ruby>のレポートをひとつにまとめています。,I'm putting several reports together in one.,noun
点数<div class="hint">point; score</div>,てんすう,point; score,<ruby>今回<rt>こんかい</rt></ruby>はテストの <ruby>点数<rt>てんすう</rt></ruby>が <ruby>悪<rt>わる</rt></ruby>かった。,My test score this time was bad.,noun
のろのろ<div class="hint">slowly</div>,のろのろ,slowly,<ruby>車<rt>くるま</rt></ruby>は <ruby>雪<rt>ゆき</rt></ruby> <ruby>道<rt>みち</rt></ruby>をのろのろと <ruby>走<rt>はし</rt></ruby>ったの。,The car drove very slowly on the snowy road.,adverb
無数<div class="hint">countless; innumerable</div>,むすう,countless; innumerable,<ruby>宇宙<rt>うちゅう</rt></ruby>には <ruby>無数<rt>むすう</rt></ruby>の <ruby>星<rt>ほし</rt></ruby>があります。,There are countless stars in space.,noun
前回<div class="hint">last time</div>,ぜんかい,last time,<ruby>前回<rt>ぜんかい</rt></ruby>の <ruby>続<rt>つづ</rt></ruby>きから <ruby>始<rt>はじ</rt></ruby>めます。,We'll start from where we left off last time.,noun
回数<div class="hint">frequency; number of times</div>,かいすう,frequency; number of times,<ruby>最近<rt>さいきん</rt></ruby>はテレビを <ruby>見<rt>み</rt></ruby>る <ruby>回数<rt>かいすう</rt></ruby>が <ruby>減<rt>へ</rt></ruby>りました。,I watch TV less frequently these days.,noun
個性<div class="hint">individuality; personality</div>,こせい,individuality; personality,<ruby>彼女<rt>かのじょ</rt></ruby>たちはそれぞれ <ruby>個性<rt>こせい</rt></ruby>が <ruby>強<rt>つよ</rt></ruby>いですね。,Each of the women has a strong personality.,noun
勝ち<div class="hint">win; victory</div>,かち,win; victory,<ruby>歌合戦<rt>うたがっせん</rt></ruby>は <ruby>赤<rt>あか</rt></ruby> <ruby>組<rt>ぐみ</rt></ruby>の <ruby>勝<rt>か</rt></ruby>ちでしたね。,The red team won the singing contest.,noun
ポイント<div class="hint">point</div>,ぽいんと,point,このプレゼンテーションのポイントがつかめない。,I can't grasp the point of this presentation.,noun
負け<div class="hint">defeat; loss</div>,まけ,defeat; loss,この <ruby>勝負<rt>しょうぶ</rt></ruby>はあなたの <ruby>負<rt>ま</rt></ruby>けです。,You've lost this match.,noun
勝負<div class="hint">match; game</div>,しょうぶ,match; game,<ruby>勝負<rt>しょうぶ</rt></ruby>はまだ <ruby>始<rt>はじ</rt></ruby>まったばかりよ。,The game has just started.,verbal noun
負担<div class="hint">burden; charge</div>,ふたん,burden; charge,<ruby>交通<rt>こうつう</rt></ruby> <ruby>費<rt>ひ</rt></ruby>は <ruby>個人<rt>こじん</rt></ruby> <ruby>負担<rt>ふたん</rt></ruby>です。,Transportation fees have to be paid by each individual.,verbal noun
当たり前<div class="hint">of course; no wonder</div>,あたりまえ,of course; no wonder,あなたの <ruby>成績<rt>せいせき</rt></ruby>が <ruby>下<rt>さ</rt></ruby>がったのは <ruby>当<rt>あ</rt></ruby>たり <ruby>前<rt>まえ</rt></ruby>です。,No wonder your grades dropped.,adjectival noun
当日<div class="hint">the day (of the event etc.)</div>,とうじつ,the day (of the event etc.),<ruby>入場<rt>にゅうじょう</rt></ruby> <ruby>券<rt>けん</rt></ruby>は <ruby>当日<rt>とうじつ</rt></ruby>でも <ruby>買<rt>か</rt></ruby>えますよ。,You can buy admission tickets on the same day.,noun
さすが<div class="hint">just as expected; true to one's reputation</div>,さすが,just as expected; true to one's reputation,すごいな、さすがだね。,You are great just as I expected.,adverb
当てる<div class="hint">guess; hit the jackpot</div>,あてる,guess; hit the jackpot,<ruby>彼<rt>かれ</rt></ruby>はくじ <ruby>引<rt>び</rt></ruby>きで <ruby>一等<rt>いっとう</rt></ruby> <ruby>賞<rt>しょう</rt></ruby>を <ruby>当<rt>あ</rt></ruby>てたよ。,He won the first prize in the lottery.,verb
天然<div class="hint">nature</div>,てんねん,nature,ここは <ruby>天然<rt>てんねん</rt></ruby>の <ruby>温泉<rt>おんせん</rt></ruby>です。,This is a natural hot spring.,noun
法<div class="hint">law; rule</div>,ほう,law; rule,<ruby>国民<rt>こくみん</rt></ruby>は <ruby>法<rt>ほう</rt></ruby>に <ruby>従<rt>したが</rt></ruby>わなければならないよ。,Citizens must obey the law.,noun
文法<div class="hint">grammar</div>,ぶんぽう,grammar,<ruby>今日<rt>きょう</rt></ruby>は <ruby>英語<rt>えいご</rt></ruby>の <ruby>文法<rt>ぶんぽう</rt></ruby>を <ruby>勉強<rt>べんきょう</rt></ruby>します。,I'll study English grammar today.,noun
うさぎ<div class="hint">rabbit; hare</div>,うさぎ,rabbit; hare,うさぎとかめの <ruby>話<rt>はなし</rt></ruby>を <ruby>知<rt>し</rt></ruby>っていますか。,Do you know the story of the tortoise and the hare?,noun
法則<div class="hint">law; rule</div>,ほうそく,law; rule,<ruby>勝利<rt>しょうり</rt></ruby>するには <ruby>法則<rt>ほうそく</rt></ruby>があるそうだ。,I hear that there are rules to follow in order to win.,noun
経済<div class="hint">economy; economics</div>,けいざい,economy; economics,<ruby>大学<rt>だいがく</rt></ruby>で <ruby>経済<rt>けいざい</rt></ruby>を <ruby>勉強<rt>べんきょう</rt></ruby>しました。,I studied economics in college.,noun
済む<div class="hint">be settled; complete</div>,すむ,be settled; complete,<ruby>父<rt>ちち</rt></ruby>の <ruby>手術<rt>しゅじゅつ</rt></ruby>が <ruby>無事<rt>ぶじ</rt></ruby>に <ruby>済<rt>す</rt></ruby>みました。,My father's operation was completed without trouble.,verb
済ませる<div class="hint">get done with (something)</div>,すませる,get done with (something),<ruby>昼<rt>ひる</rt></ruby>ごはんは <ruby>簡単<rt>かんたん</rt></ruby>に <ruby>済<rt>す</rt></ruby>ませましょう。,Let's have a quick lunch.,verb
株<div class="hint">stock; share</div>,かぶ,stock; share,<ruby>最近<rt>さいきん</rt></ruby> <ruby>株<rt>かぶ</rt></ruby>を <ruby>始<rt>はじ</rt></ruby>めました。,I recently started investing in stocks.,noun
しびれる<div class="hint">go numb; fall asleep</div>,しびれる,go numb; fall asleep,<ruby>足<rt>あし</rt></ruby>がしびれた。,My foot went numb.,verb
式<div class="hint">ceremony</div>,しき,ceremony,<ruby>彼<rt>かれ</rt></ruby>らは <ruby>教会<rt>きょうかい</rt></ruby>で <ruby>式<rt>しき</rt></ruby>を <ruby>挙<rt>あ</rt></ruby>げました。,They had a wedding ceremony in the church.,noun
産業<div class="hint">industry</div>,さんぎょう,industry,<ruby>日本<rt>にほん</rt></ruby>の <ruby>自動車<rt>じどうしゃ</rt></ruby> <ruby>産業<rt>さんぎょう</rt></ruby>は <ruby>世界<rt>せかい</rt></ruby> <ruby>的<rt>てき</rt></ruby>に <ruby>有名<rt>ゆうめい</rt></ruby>だ。,The Japanese auto industry is famous worldwide.,noun
商業<div class="hint">commerce; trade</div>,しょうぎょう,commerce; trade,この <ruby>町<rt>まち</rt></ruby>では <ruby>商業<rt>しょうぎょう</rt></ruby>が <ruby>盛<rt>さか</rt></ruby>んだ。,Commercial business is thriving in this city.,noun
作業<div class="hint">work; operation</div>,さぎょう,work; operation,<ruby>作業<rt>さぎょう</rt></ruby>するにはもっと <ruby>広<rt>ひろ</rt></ruby>いスペースが <ruby>必要<rt>ひつよう</rt></ruby>だ。,I need a bigger space to work.,verbal noun
工業<div class="hint">industry (of production)</div>,こうぎょう,industry (of production),そこは <ruby>工業<rt>こうぎょう</rt></ruby> <ruby>都市<rt>とし</rt></ruby>だ。,It's an industrial city.,noun
ぎっしり<div class="hint">tightly; closely</div>,ぎっしり,tightly; closely,この <ruby>箱<rt>はこ</rt></ruby>にはぎっしり <ruby>物<rt>もの</rt></ruby>が <ruby>詰<rt>つ</rt></ruby>まっています。,This box is tightly packed with stuff.,adverb
業界<div class="hint">industry; business world</div>,ぎょうかい,industry; business world,<ruby>私<rt>わたし</rt></ruby>はＩＴ <ruby>業界<rt>ぎょうかい</rt></ruby>で <ruby>働<rt>はたら</rt></ruby>いています。,I work in the IT industry.,noun
営業<div class="hint">business; sales</div>,えいぎょう,business; sales,<ruby>彼<rt>かれ</rt></ruby>は <ruby>営業<rt>えいぎょう</rt></ruby>を <ruby>担当<rt>たんとう</rt></ruby>しています。,He is in charge of sales.,verbal noun
休業<div class="hint">suspension of a business operation</div>,きゅうぎょう,suspension of a business operation,<ruby>明日<rt>あした</rt></ruby>は <ruby>臨時<rt>りんじ</rt></ruby>に <ruby>休業<rt>きゅうぎょう</rt></ruby>します。,We'll be temporarily closed tomorrow.,verbal noun
左利き<div class="hint">left-handedness</div>,ひだりきき,left-handedness,<ruby>私<rt>わたし</rt></ruby>の <ruby>息子<rt>むすこ</rt></ruby>は <ruby>左利<rt>ひだりき</rt></ruby>きです。,My son is left-handed.,noun
有利<div class="hint">advantage; profitable</div>,ゆうり,advantage; profitable,<ruby>資格<rt>しかく</rt></ruby>があると <ruby>就職<rt>しゅうしょく</rt></ruby>に <ruby>有利<rt>ゆうり</rt></ruby>です。,Having qualifications is an advantage when looking for a job.,adjectival noun
うがい<div class="hint">gargling</div>,うがい,gargling,<ruby>冬<rt>ふゆ</rt></ruby>はまめにうがいをします。,I gargle a lot in winter.,verbal noun
不利<div class="hint">disadvantage</div>,ふり,disadvantage,<ruby>彼<rt>かれ</rt></ruby>は <ruby>今<rt>いま</rt></ruby>、 <ruby>不利<rt>ふり</rt></ruby>な <ruby>立場<rt>たちば</rt></ruby>にいます。,He's at a disadvantage now.,adjectival noun
利益<div class="hint">profit; benefit</div>,りえき,profit; benefit,<ruby>先月<rt>せんげつ</rt></ruby>の <ruby>利益<rt>りえき</rt></ruby>は２００ <ruby>万<rt>まん</rt></ruby> <ruby>円<rt>えん</rt></ruby>でした。,Last month's profit was two million yen.,noun
収入<div class="hint">income</div>,しゅうにゅう,income,<ruby>日本人<rt>にほんじん</rt></ruby>の <ruby>平均<rt>へいきん</rt></ruby> <ruby>収入<rt>しゅうにゅう</rt></ruby>はどのくらいですか。,What's the average income in Japan?,noun
技術<div class="hint">skill; technology</div>,ぎじゅつ,skill; technology,<ruby>彼<rt>かれ</rt></ruby>は <ruby>非常<rt>ひじょう</rt></ruby>に <ruby>高<rt>たか</rt></ruby>い <ruby>技術<rt>ぎじゅつ</rt></ruby>を <ruby>持<rt>も</rt></ruby>っている。,He has very advanced skills.,noun
芸術<div class="hint">art; arts and crafts</div>,げいじゅつ,art; arts and crafts,ここは <ruby>芸術<rt>げいじゅつ</rt></ruby>を <ruby>愛<rt>あい</rt></ruby>する <ruby>国<rt>くに</rt></ruby>です。,This is a country that values art.,noun
かく<div class="hint">scratch</div>,かく,scratch,<ruby>背中<rt>せなか</rt></ruby>をお <ruby>母<rt>かあ</rt></ruby>さんにかいてもらったの。,I had my mother scratch my back.,verb
製品<div class="hint">product</div>,せいひん,product,<ruby>当社<rt>とうしゃ</rt></ruby>の <ruby>製品<rt>せいひん</rt></ruby>は３ <ruby>年間<rt>ねんかん</rt></ruby>の <ruby>保証<rt>ほしょう</rt></ruby>つきです。,Our products come with a three-year guarantee.,noun
製作<div class="hint">manufacture; production</div>,せいさく,manufacture; production,この <ruby>映画<rt>えいが</rt></ruby>は <ruby>香港<rt>ほんこん</rt></ruby>で <ruby>製作<rt>せいさく</rt></ruby>されました。,This movie was produced in Hong Kong.,verbal noun
製造<div class="hint">production; manufacturing</div>,せいぞう,production; manufacturing,この <ruby>工場<rt>こうじょう</rt></ruby>ではエアコンを <ruby>製造<rt>せいぞう</rt></ruby>しています。,This factory manufactures air conditioning units.,verbal noun
必ずしも<div class="hint">not always; not necessarily</div>,かならずしも,not always; not necessarily,<ruby>親切<rt>しんせつ</rt></ruby>は <ruby>必<rt>かなら</rt></ruby>ずしも <ruby>喜<rt>よろこ</rt></ruby>ばれるわけではない。,People don't necessarily appreciate kindness at all times.,adverb
要するに<div class="hint">in a word; in short</div>,ようするに,in a word; in short,<ruby>要<rt>よう</rt></ruby>するに <ruby>時機<rt>じき</rt></ruby>を <ruby>待<rt>ま</rt></ruby>つべきだ。,In short; we should wait for the right opportunity.,adverb
ずらり<div class="hint">lining up neatly</div>,ずらり,lining up neatly,<ruby>玄関<rt>げんかん</rt></ruby>に <ruby>靴<rt>くつ</rt></ruby>がずらりと <ruby>並<rt>なら</rt></ruby>んでいたな。,Shoes were lined up in the doorway.,adverb
要求<div class="hint">need; demand</div>,ようきゅう,need; demand,<ruby>彼<rt>かれ</rt></ruby>は <ruby>私<rt>わたし</rt></ruby>の <ruby>要求<rt>ようきゅう</rt></ruby>にこたえた。,He fulfilled my needs.,verbal noun
求める<div class="hint">seek; yearn for</div>,もとめる,seek; yearn for,<ruby>子供<rt>こども</rt></ruby>は <ruby>親<rt>おや</rt></ruby>の <ruby>愛<rt>あい</rt></ruby>を <ruby>求<rt>もと</rt></ruby>めます。,Children seek parental love.,verb
体温計<div class="hint">(clinical) thermometer</div>,たいおんけい,(clinical) thermometer,<ruby>体温計<rt>たいおんけい</rt></ruby>が <ruby>壊<rt>こわ</rt></ruby>れてしまった。,The clinical thermometer has broken.,noun
会計<div class="hint">accounting; payment (for goods and services)</div>,かいけい,accounting; payment (for goods and services),<ruby>会計<rt>かいけい</rt></ruby>を <ruby>済<rt>す</rt></ruby>ませて <ruby>店<rt>みせ</rt></ruby>を <ruby>出<rt>で</rt></ruby>たんだ。,I paid the bill and then left the store.,verbal noun
計<div class="hint">total</div>,けい,total,３ <ruby>人<rt>にん</rt></ruby> <ruby>分<rt>ぶん</rt></ruby>の <ruby>代金<rt>だいきん</rt></ruby>は <ruby>計<rt>けい</rt></ruby>６０００ <ruby>円<rt>えん</rt></ruby>です。,The cost for three people is 6000 yen in total.,noun
しゃがむ<div class="hint">squat down</div>,しゃがむ,squat down,お <ruby>年寄<rt>としよ</rt></ruby>りが <ruby>道端<rt>みちばた</rt></ruby>にしゃがんでいますね。,An elderly person is squatting down on the side of the road.,verb
計る<div class="hint">compute; measure (number or time)</div>,はかる,compute; measure (number or time),１００メートル <ruby>走<rt>そう</rt></ruby>のタイムを <ruby>計<rt>はか</rt></ruby>ったんだ。,I timed a 100m race.,verb
時差<div class="hint">time difference</div>,じさ,time difference,<ruby>日本<rt>にっぽん</rt></ruby>とフランスの <ruby>時差<rt>じさ</rt></ruby>は８ <ruby>時間<rt>じかん</rt></ruby>です。,The time difference between Japan and France is eight hours.,noun
差<div class="hint">difference</div>,さ,difference,<ruby>都心<rt>としん</rt></ruby>と <ruby>地方<rt>ちほう</rt></ruby>では <ruby>収入<rt>しゅうにゅう</rt></ruby>に <ruby>大<rt>おお</rt></ruby>きな <ruby>差<rt>さ</rt></ruby>があるね。,There is a big difference between urban and rural areas in the amount of income earned.,noun
差す<div class="hint">open (an umbrella)</div>,さす,open (an umbrella),<ruby>雨<rt>あめ</rt></ruby>が <ruby>降<rt>ふ</rt></ruby>ってきたので <ruby>傘<rt>かさ</rt></ruby>を <ruby>差<rt>さ</rt></ruby>しました。,I opened my umbrella as it started to rain.,verb
データ<div class="hint">data</div>,でーた,data,<ruby>去年<rt>きょねん</rt></ruby>のデータを <ruby>見<rt>み</rt></ruby>せてください。,Please show me last year's data.,noun
役割<div class="hint">role; part</div>,やくわり,role; part,みんなで <ruby>役割<rt>やくわり</rt></ruby>を <ruby>分担<rt>ぶんたん</rt></ruby>しましょう。,Let's give everyone a role.,noun
割合<div class="hint">rate; proportion</div>,わりあい,rate; proportion,<ruby>二<rt>ふた</rt></ruby>つの <ruby>薬品<rt>やくひん</rt></ruby>を１ <ruby>対<rt>たい</rt></ruby>３の <ruby>割合<rt>わりあい</rt></ruby>で <ruby>混<rt>ま</rt></ruby>ぜたんだ。,I mixed the two chemicals at a ratio of 1 to 3.,noun
残り<div class="hint">rest; leftover</div>,のこり,rest; leftover,<ruby>仕事<rt>しごと</rt></ruby>の <ruby>残<rt>のこ</rt></ruby>りは <ruby>家<rt>いえ</rt></ruby>でします。,I'll do the rest of the work at home.,noun
残業<div class="hint">overtime work</div>,ざんぎょう,overtime work,<ruby>昨日<rt>きのう</rt></ruby>は <ruby>遅<rt>おそ</rt></ruby>くまで <ruby>残業<rt>ざんぎょう</rt></ruby>しました。,I worked overtime till late yesterday.,verbal noun
支度<div class="hint">preparation; getting ready</div>,したく,preparation; getting ready,<ruby>支度<rt>したく</rt></ruby>ができたら <ruby>出<rt>で</rt></ruby>かけましょう。,Let's go out when we are ready.,verbal noun
ビジネス<div class="hint">business</div>,びじねす,business,<ruby>彼<rt>かれ</rt></ruby>はビジネスで <ruby>大<rt>だい</rt></ruby> <ruby>成功<rt>せいこう</rt></ruby>を <ruby>収<rt>おさ</rt></ruby>めたな。,He achieved great success in business.,noun
支持<div class="hint">support</div>,しじ,support,<ruby>彼<rt>かれ</rt></ruby>は <ruby>国民<rt>こくみん</rt></ruby>の <ruby>支持<rt>しじ</rt></ruby>を <ruby>得<rt>え</rt></ruby>たのよ。,He won the people's support.,verbal noun
支配<div class="hint">control; rule</div>,しはい,control; rule,その <ruby>権力<rt>けんりょく</rt></ruby> <ruby>者<rt>しゃ</rt></ruby>による <ruby>支配<rt>しはい</rt></ruby>は５０ <ruby>年<rt>ねん</rt></ruby> <ruby>以上<rt>いじょう</rt></ruby> <ruby>続<rt>つづ</rt></ruby>いたんです。,The potentate continued to rule for over 50 years.,verbal noun
