得,dé,get; obtain; win; earn,他得到了礼物。,Tā dédàole lǐwù.,He received a gift.
感情,gǎnqíng,feeling; emotion; sensation,他们俩的感情很不错。,Tāmen liǎ de gǎnqíng hěn bùcuò.,They have a close relationship.
演出,yǎnchū,to act (in a play); to perform; to put on a show; performance,演出开始了。,Yǎnchū kāishǐ le.,The performance has started.
愉快,yúkuài,happy; cheerful; delightful,祝我们合作愉快！,Zhù wǒmen hézuò yúkuài!,Here's wishing that we have a pleasant cooperation!
开玩笑,kāi wánxiào,joke; play a joke; make fun of,你在开玩笑吧？,Nǐ zài kāi wánxiào ba?,Are you kidding?
杂志,zázhì,magazine,新杂志出版了。,Xīn zázhì chūbǎn le.,The new magazine has been published.
合适,héshì,suitable; proper; appropriate,他穿这件衣服很合适。,Tā chuān zhèjiàn yīfu hěn héshì.,This shirt fits him well.
广告,guǎnggào,advertisement; a commercial,我们在报纸上登了广告。,Wǒmen zài bàozhǐ shang dēngle guǎnggào.,We placed an advertisement in the newspaper.
自然,zìrán,nature; natural,我们要保护自然资源。,Wǒmen yào bǎohù zìrán zīyuán.,We must protect our natural resources.
深,shēn,deep; profound; dark (of colors),这个洞很深。,Zhège dòng hěn shēn.,This hole is very deep.
取,qǔ,to take; get; choose,由于下雨，比赛取消了。,Yóuyú xiàyǔ bǐsài qǔxiāo le.,Due to the rain the game has been canceled.
短信,duǎnxìn,text message; SMS,手机一打开，他就接到一连串的短信．,Shǒujī yī dǎkāi tā jiù jiē dào yīliánchuàn de duǎnxìn.,The moment his cell phone was turned on he received a series of text messages.
地球,dìqiú,the Earth; planet,我们要爱护地球。,Wǒmen yào àihù dìqiú.,We should love and protect our planet.
帅,shuài,handsome; graceful; commander-in-chief,你 只 是 觉得 他 帅。,Nǐ zhǐ shì juéde tā shuài.,You just think he's cute.
推,tuī,to push; to scrape; to decline; postpone; elect,他在推车。,Tā zài tuīchē.,He's pushing the car.
关键,guānjiàn,crucial; key; pivotal,比赛的关键时刻到了。,Bǐsài de guānjiàn shíkè dào le.,The crucial moment in the game has come.
空,kōng,empty; sky,还有空房吗？,Hái yǒu kòngfáng ma?,Are there any rooms vacant?
究竟,jiūjìng,after all; when all is said and done; actually,,,
恐怕,kǒngpà,be afraid; to fear; I'm afraid that...,,,
躺,tǎng,recline; lie down (on back or side),他们躺在草地上休息。,Tāmen tǎng zài cǎodì shang xiūxi.,They're lying on the grass resting.
聚会,jùhuì,hold a meeting; get together; a party,他们偕同妻子参加了聚会。,Tāmen xiétóng qīzi cānjiāle jùhuì.,They went to the get-together with their wives.
方向,fāngxiàng,direction; orientation,他迷失了方向。,Tā míshīle fāngxiàng.,He's lost his way.
幸福,xìngfú,happy; blessed; fortunate,他们的生活很幸福。,Tāmen de shēnghuó hěn xìngfú.,They have happy lives.
接着,jiēzhe,continue; carry on; to catch; follow,她放学后接着就回家了。,Tā fàngxué hòu jiēzhe jiù huíjiā le.,She went home after classes were over.
技术,jìshù,technology; technique; skill,他开车的技术很高。,Tā kāichē de jìshù hěn gāo.,His driving skills are very strong.
困,kùn,sleepy; surround; hard-pressed,在困难的条件下他们完成了任务。,Zài kùnnan de tiáojiàn xià tāmen wánchéngle rènwu.,They accomplished their mission under difficult conditions.
困难,kùnnan,difficulty; difficult; problem,现场的营救工作很困难。,Xiànchǎng de yíngjiù gōngzuò hěn kùnnan.,On-the-scene rescue work is very difficult.
正好,zhènghǎo,just (in time); just right; just enough; happen to; by chance,时间正好合适。,Shíjiān zhènghǎo héshì.,This is just the right time.
提醒,tíxǐng,remind; call attention to; warn of,请提醒我去开会。,Qǐng tíxǐng wǒ qù kāihuì.,Please remind me to attend the meeting.
旅行,lǚxíng,travel,男朋友同我一起去旅行。,Nánpéngyou tóng wǒ yīqǐ qù lǚxíng.,My boyfriend and I travel together.
激动,jīdòng,excite; agitate,他很激动，甚至连话都说不出来了。,Tā hěn jīdòng shènzhì lián huà dōu shuō bu chūlái le.,He was so excited that he couldn't utter a word.
骄傲,jiāo'ào,proud; arrogant; conceited; take pride in,得奖了，我感到很骄傲。,Déjiǎng le wǒ gǎndào hěn jiāo'ào.,I'm very proud of the prize I won.
毛,máo,hair; fur; feather; dime (Kangxi radical 82),她 穿 橙色的 毛衣。,Tā chuān chéngsède máoyī.,She is wearing a orange sweater.
节,jié,section; part; festival; moral integrity; save; (mw for class periods),新 老师 应该 节食。,Xīn lǎoshī yīnggāi jiéshí.,The new teacher should go on a diet.
许多,xǔduō,many; a lot; much,停车场停了许多汽车。,Tíngchēchǎng tíngle xǔduō qìchē.,There are a lot of cars parked in the parking lot.
顺利,shùnlì,go smoothly; without a hitch; successful,她顺利地产下了儿子。,Tā shùnlì de chǎnxiàle érzi.,She safely gave birth to a boy.
职业,zhíyè,profession; occupation,她从事教育职业。,Tā cóngshì jiàoyù zhíyè.,She works in the field of education.
赚,zhuàn,earn; make a profit,我赚了一笔钱。,Wǒ zhuàn le yī bǐ qián.,I've made some money.
地址,dìzhǐ,address,我的地址是……,Wǒde dìzhǐ shì ……,My address is…
于是,yúshì,as a result; thus; therefore,他完成了工作，于是回家了。,Tā wánchéngle gōngzuò yúshì huíjiā le.,He finished the work and then went home.
收拾,shōushi,to tidy; put in order; to repair; to settle with; punish,她在收拾餐具。,Tā zài shōushi cānjù.,She's putting away the dinnerware.
周围,zhōuwéi,surroundings; vicinity; environment,房子的周围是一片草地。,Fángzi de zhōuwéi shì yī piàn cǎodì.,The house is surrounded by lawn.
爱情,àiqíng,(romantic) love,玫瑰让人联想到爱情。,Méigui ràng rén liánxiǎng dào àiqíng.,Roses remind people of love.
尊重,zūnzhòng,esteem; to respect; to value; to honor,每个人都要互相尊重。,Měige rén dōu yào hùxiāng zūnzhòng.,Everyone should respect each other.
十分,shífēn,very; fully; 100%,十分钟后开会。,Shí fēnzhōng hòu kāihuì.,The meeting will start in 10 minutes.
教授,jiàoshòu,professor; instruct; to lecture,他是大学教授。,Tā shì dàxué jiàoshòu.,He's a university professor.
超过,chāoguò,surpass; exceed; outstrip,6号超过了所有的选手。,Liù hào chāoguòle suǒyǒude xuǎnshǒu.,No. 6 has taken the lead over all the other contestants.
寄,jì,send by mail,我去邮局寄信。,Wǒ qù yóujú jìxìn.,I'm going to the post office to mail a letter.
顺便,shùnbiàn,conveniently; in passing; on the way,她工作之余顺便在巴黎游玩。,Tā gōngzuò zhī yú shùnbiàn zài Bālí yóuwán.,She travels to Paris when she gets time off from work.
无聊,wúliáo,nonsense; bored; silly; stupid,学习 数学 很 无聊。,Xuéxí shùxué hěn wúliáo.,Studying Math is very boring.
目的,mùdì,purpose; aim; goal,我们到达了目的地。,Wǒmen dàodále mùdìdì.,We've arrived at our destination.
低,dī,low; to lower (one's head); droop,昨天的气温很低。,Zuótiān de qìwēn hěn dī.,The temperature was very low yesterday.
剩,shèng,have as remainder; be left over; surplus,这个月的薪水还有剩余。,Zhège yuè de xīnshui hái yǒu shèngyú.,Some of this month's salary is still left over.
复杂,fùzá,complicated; complex,人体的组织结构很复杂。,Réntǐ de zǔzhī jiégòu hěn fùzá.,The structure of the human body is complicated.
社会,shèhuì,society,工人为社会服务。,Gōngrén wèi shèhuì fúwù.,Workers serve society.
故意,gùyì,deliberately; intentional; on purpose,,,
好处,hǎochu,benefit; advantage,多劳动对身体有好处。,Duō láodòng duì shēntǐ yǒu hǎochù.,It's good for one's health to do manual labor.
竟然,jìngrán,unexpectedly; to one's surprise; go so far as to,你竟然给我打电话。,Nǐ jìngrán gěi wǒ dǎ diànhuà.,What a surprise that you should call me.
表示,biǎoshì,express; show; indicate,他对你表示感谢。,Tā duì nǐ biǎoshì gǎnxiè.,He expressed his gratitude towards you.
印象,yìnxiàng,impression,我对他印象很深。,Wǒ duì tā yìnxiàng hěn shēn.,He left a deep impression on me.
出生,chūshēng,be born,这个城市是我出生的地方。,Zhège chéngshì shì wǒ chūshēng de dìfang.,This city is where I was born.
估计,gūjì,appraise; estimate,估计晚上会下雨。,Gūjì wǎnshang huì xiàyǔ.,I think it will rain tonight.
地点,dìdiǎn,place; site; location,,,
轻,qīng,light; easy; gentle; soft,你 看起来 很 轻松。,Nǐ kànqǐlái hěn qīngsōng.,You appear to be relaxed.
轻松,qīngsōng,relaxed; gentle; easygoing,马轻松地越过了障碍。,Mǎ qīngsōng de yuèguòle zhàng'ài.,The horse easily jumped over the barrier.
作用,zuòyòng,action; activity; effect,药开始起作用了。,Yào kāishǐ qǐ zuòyòng le.,The medicine began to take effect.
举,jǔ,lift; raise; cite,还不知道选举的结果。,Hái bù zhīdào xuǎnjǔ de jiéguǒ.,We don't know the election results yet.
小伙子,xiǎohuǒzi,young man; lad; youngster,,,
著名,zhùmíng,famous; well-known; celebration,他是全国著名的作家。,Tā shì quánguó zhùmíng de zuòjiā.,He's a writer known to the whole nation.
免费,miǎn fèi,free (of charge); no cost,今天公园免费开放。,Jīntiān gōngyuán miǎnfèi kāifàng.,Park admission is free today.
伤心,shāngxīn,sad; grieve; brokenhearted,莫要太伤心！,Mò yào tài shāngxīn!,Don't grieve too much.
记者,jìzhě,reporter; journalist,他是新闻记者。,Tā shì xīnwén jìzhě.,He's a news reporter.
仔细,zǐxì,careful; attentive; cautious,医生仔细检查她的身体。,Yīshēng zǐxì jiǎnchá tā de shēntǐ.,The doctor is checking her health carefully.
巧克力,qiǎokèlì,chocolate,他的嘴上和脸上都沾满了巧克力。,Tā de zuǐshàng hé liǎnshàng dōu zhānmǎn le qiǎokèlì.,His lips and face are covered with chocolate.
辣,là,hot (spicy),辣椒、洋葱和胡萝卜都属于蔬菜类。,Làjiāo、yángcōng hé húluóbo dōu shǔyú shūcàilèi.,Peppers onions and carrots are all vegetables.
互相,hùxiāng,mutually; with each other,我们需要互相帮助。,Wǒmen xūyào hùxiāng bāngzhù.,We need to help one another.
厕所,cèsuǒ,bathroom; toilet; lavatory,这是男厕所。,Zhè shì nán cèsuǒ.,This is the men's toilet.
过程,guòchéng,course of events; process,它的制造过程很复杂。,Tā de zhìzào guòchéng hěn fùzá.,The manufacturing process is very complicated.
申请,shēnqǐng,apply for; application,请填写申请表。,Qǐng tiánxiě shēnqǐngbiǎo.,Please fill in the application form.
引起,yǐnqǐ,give rise to; lead to; to cause; arouse,她引起了我的注意。,Tā yǐnqǐle wǒ de zhùyì.,She caught my attention.
发展,fāzhǎn,develop; development; growth,最近科技发展很快。,Zuìjìn kējì fāzhǎn hěn kuài.,Technology has recently been developing rapidly.
毕业,bì yè,to graduate; to finish school,我今年大学毕业。,Wǒ jīnnián dàxué bìyè.,I'll graduate from university this year.
正式,zhèngshì,formal; official,比赛正式开始了。,Bǐsài zhèngshì kāishǐ le.,The game officially began.
厨房,chúfáng,kitchen,厨房很干净。,Chúfáng hěn gānjìng.,The kitchen is very clean.
专业,zhuānyè,profession; specialized field of study; major,他是医学专业的学生。,Tā shì yīxué zhuānyè de xuésheng.,He's a student majoring in medicine.
吸引,xīyǐn,attract (interest investment etc.),磁铁互相吸引。,Cítiě hùxiāng xīyǐn.,The magnets attract each other.
心情,xīnqíng,mood; state of mind,我今天心情不错。,Wǒ jīntiān xīnqíng búcuò.,I'm in a good mood today.
祝贺,zhùhè,congratulate,祝贺你毕业了！,Zhùhè nǐ bìyè le!,Congratulations on your graduation!
条件,tiáojiàn,condition; circumstances; prerequisite,这个村子的生活条件仍然很原始。,Zhège cūnzi de shēnghuó tiáojiàn réngrán hěn yuánshǐ.,The living conditions in this village are still very primitive.
千万,qiānwàn,ten million; be sure to; must,千万不要挑拨夫妻关系。,Qiānwàn bùyào tiǎobō fūqī guānxi.,Never sow discord between husband and wife.
糖,táng,sugar; candy; sweets,药片都包着一层糖衣。,Yàopiàn dōu bāozhe yī céng tángyī.,All the pills are coated with sugar.
趟,tàng,(mw for trips times); trip; row,她 决定 亲自 去 一 趟。,Tā juédìng qīnzì qù yí tàng.,She decided to go in person.
由于,yóuyú,due to; owing to; as a result of; thanks to,由于下雨，比赛取消了。,Yóuyú xiàyǔ bǐsài qǔxiāo le.,Due to the rain the game has been canceled.
密码,mìmǎ,password; secret code,售货员请我输入卡号密码。,Shòuhuòyuán qǐng wǒ shūrù kǎhào mìmǎ.,The salesperson asked me to enter my pin number.
倍,bèi,(two three etc)-fold; times (multiplier),价格增加了一倍。,Jiàgé zēngjiāle yí bèi.,The price doubled.
擦,cā,to wipe; to rub; to polish,她在擦口红。,Tā zài cā kǒuhóng.,She's putting on lipstick.
尤其,yóuqí,especially; particularly,我喜欢吃日本菜，尤其是寿司。,Wǒ xǐhuan chī Rìběncài yóuqíshì shòusī.,I love Japanese food especially sushi.
经验,jīngyàn,experience,我没有这方面的经验。,Wǒ méiyǒu zhè fāngmiàn de jīngyàn.,I don't have experience in this field.
盒子,hézi,box,他很珍惜这个盒子。,Tā hěn zhēnxī zhèige hézi.,He treasures this box very much.
干杯,gān bēi,to drink a toast; cheers!; bottoms up!,来，干杯！,Lái gānbēi!,Cheers!
看法,kànfǎ,point of view; opinion,他让我们改变了看法。,Tā ràng wǒmen gǎibiànle kànfǎ.,He made us change our views.
脏,zāng,filthy; dirty,这个 盘子 很 脏。,Zhège pánzi hěn zāng.,This plate is very dirty.
艺术,yìshù,art,她是年轻的艺术家。,Tā shì niánqīng de yìshùjiā.,She's a young artist.
速度,sùdù,speed; rate; velocity,他们跑步的速度很平均。,Tāmen pǎobù de sùdù hěn píngjūn.,They run at an even pace.
勇敢,yǒnggǎn,brave; courageous,小男孩很勇敢。,Xiǎo nánhái hěn yǒnggǎn.,The small boy is very courageous.
数字,shùzì,number; numeral; figure; digit,我们有一台数字电视。,Wǒmen yǒu yì tái shùzì diànshì.,We have a digital TV.
暂时,zànshí,temporary; transient; for the moment,爸爸只是暂时离开。,Bàba zhǐshì zànshí líkāi.,My father has just left temporarily.
优秀,yōuxiù,outstanding; excellent,大家的表现都很优秀。,Dàjiā de biǎoxiàn dōu hěn yōuxiù.,Everyone's performance was excellent.
笑话,xiàohua,joke; laugh at,他的笑话缓和了紧张的气氛。,Tāde xiàohuà huǎnhé le jǐnzhāng de qìfēn.,His jokes eased the tense atmosphere.
可惜,kěxī,it's a pity; regrettable; too bad,可惜他失败了。,Kěxī tā shībàile.,It's a pity that he failed.
响,xiǎng,make a sound; to ring; echo,闹钟响了，但是他没醒。,Nàozhōng xiǎng le dànshì tā méi xǐng.,The alarm clock has rung but he hasn't yet woken up.
省,shěng,to save; economize; omit; province,广州是广东省的首府。,Guǎngzhōu shì Guǎngdōng Shěng de shǒufǔ.,Guangzhou is the capital city of Guangdong province.
笨,bèn,stupid; foolish; silly; dumb; clumsy,老板 真 笨。,Lǎobǎn zhēn bèn.,The boss is really stupid.
科学,kēxué,science; scientific knowledge,科学使人类进步。,Kēxué shǐ rénlèi jìnbù.,Science has advanced the human race.
餐厅,cāntīng,dining hall; cafeteria; restaurant,这家餐厅的环境很不错。,Zhè jiā cāntīng de huánjìng hěn bùcuò.,The restaurant is quite nice inside.
各,gè,each; every,他们各自工作。,Tāmen gèzì gōngzuò.,Each of them is working.
距离,jùlí,distance; be apart; away from,我家距离车站1公里。,Wǒ jiā jùlí chēzhàn yī gōnglǐ.,My home is one kilometer away from the station.
窗户,chuānghu,window,你 可以 关 窗户 吗？,Nǐ kěyǐ guān chuānghu ma?,Can you close the window?
空气,kōngqì,air,野外的空气真好。,Yěwài de kōngqì zhēn hǎo.,The air in the countryside is really good.
护士,hùshi,nurse,她成为一名护士。,Tā chéngwéi yī míng hùshi.,She's become a nurse.
后悔,hòuhuǐ,to regret; repent,他做错了事，很后悔。,Tā zuòcuòle shì hěn hòuhuǐ.,He has done wrong and regrets it very much.
大约,dàyuē,approximately; about,这个男孩大约六岁。,Zhège nánháir dàyuē liù suì.,The boy is about six years old.
内容,nèiróng,content; substance; details,这本书的内容很难。,Zhè běn shū de nèiróng hěn nán.,The content of this book is difficult.
规定,guīdìng,regulation; stipulate; fix; set,公司规定不能迟到。,Gōngsī guīdìng bù néng chídào.,The company rules state that employees must not be late.
效果,xiàoguǒ,effect; result,运动减肥的效果很好。,Yùndòng jiǎnféi de xiàoguǒ hěn hǎo.,Doing exercise is an effective way to lose weight.
现金,xiànjīn,cash,算一算你的钱包有多少现金？,Suàn yī suàn nǐ de qiánbāo yǒu duōshǎo xiànjīn?,Count how much cash you've got in your wallet.
儿童,értóng,child; children,那里是儿童乐园。,Nàli shì értóng lèyuán.,That's a playground over there.
租,zū,to rent,我想租一套公寓。,Wǒ xiǎng zū yī tào gōngyù.,I want to rent an apartment.
篇,piān,sheet; (mw for articles); piece of writing,他在报纸发表了一篇文章。,Tā zài bàozhǐ fābiǎole yì piān wénzhāng.,He published an article in the newspaper.
浪漫,làngmàn,romantic,那个爱情故事很浪漫。,Nàge àiqíng gùshi hěn làngmàn.,That love story is romantic.
态度,tàidu,manner; bearing; attitude,他的态度很亲切。,Tā de tàidu hěn qīnqiè.,He is very cordial.
自信,zìxìn,self-confidence,我自信能完成这份工作。,Wǒ zìxìn néng wánchéng zhè fèn gōngzuò.,I'm confident of completing the job.
吃惊,chī jīng,be startled; be shocked; be amazed,这个消息令人吃惊。,Zhège xiāoxi lìngrén chījīng.,The news is surprising.
熟悉,shúxī,familiar with; know well,我对这个事情不熟悉。,Wǒ duì zhèige shìqing bù shúxī.,I'm not familiar with this matter.
按照,ànzhào,according to; in accordance with; in light of,一切都按照计划进行。,Yíqiè dōu ànzhào jìhuà jìnxíng.,Everything is underway according to plan.
世纪,shìjì,century,人类已经进入21世纪。,Rénlèi yǐjing jìnrù èrshíyī shìjì.,Mankind has entered the twenty first century.
回忆,huíyì,to recall; recollect,把美好的回忆留在心中。,Bǎ měihǎo de huíyì liú zài xīnzhōng.,Hold your beautiful memories in your heart.
相同,xiāngtóng,identical; same; alike,她们穿着相同的衣服。,Tāmen chuānzhe xiāngtóng de yīfu.,They're wearing identical clothes.
重点,zhòngdiǎn,emphasis; main point,政府重点发展经济。,Zhèngfǔ zhòngdiǎn fāzhǎn jīngjì.,The government focus is on economic development.
教育,jiàoyù,education,她教育孩子们。,Tā jiàoyù háizimen.,She teaches children.
受不了,shòu bu liǎo,cannot endure; unbearable; can't stand,我受不了了。,Wǒ shòubuliǎo le.,I can't stand it anymore.
皮肤,pífū,skin,她的面部皮肤很好。,Tā de miànbù pífū hěn hǎo.,She has a wonderful facial complexion.
区别,qūbié,difference; distinguish,不同的颜色一眼就能区别出来。,Bùtóng de yánsè yīyǎn jiù néng qūbié chūlái.,You can differentiate between different colors with one glance.
左右,zuǒyòu,about; approximate; around; (left and right);&nbsp;control,请不要左右我！,Qǐng búyào zuǒyòu wǒ!,Please don't control me!
阳光,yángguāng,sunshine; sunlight,阳光照在树叶上。,Yángguāng zhào zài shùyè shàng.,The sun is shining on the tree leaves.
页,yè,page; leaf (Kangxi radical 181),他把书翻到下一页。,Tā bǎ shū fān dào xià yī yè.,He turned to the next page.
文章,wénzhāng,article; essay,他在报纸发表了一篇文章。,Tā zài bàozhǐ fābiǎole yì piān wénzhāng.,He published an article in the newspaper.
语言,yǔyán,language,你会说几种语言？,Nǐ huì shuō jǐ zhǒng yǔyán?,How many languages do you speak?
标准,biāozhǔn,(an official) standard; norm; criterion,她的体操动作很标准。,Tā de tǐcāo dòngzuò hěn biāozhǔn.,Her gymnastics moves are up to the standard.
管理,guǎnlǐ,supervise; manage,我管理这个部门。,Wǒ guǎnlǐ zhège bùmén.,I'm in charge of this department.
误会,wùhuì,to misunderstand; to mistake,这次误会破坏了他们的感情。,Zhècì wùhuì pòhuài le tāmen de gǎnqíng.,This misunderstanding ruined their love.
桥,qiáo,bridge,这座大桥连接起两岸的交通。,Zhèi zuò dàqiáo liánjiē qǐ Liǎng'àn de jiāotōng.,This bridge links traffic from both sides.
举行,jǔxíng,convene; to hold (a meeting ceremony etc.),2008年的奥运会在北京举行。,Èr líng líng bā nián de Àoyùnhuì zài Běijīng jǔxíng.,The 2008 Olympic Games were held in Beijing.
肚子,dùzi,belly; abdomen; stomach,他肚子痛。,Tā dùzi tòng.,He has a stomachache.
不仅,bùjǐn,not only; not just,成功的标准不仅仅是财富。,Chénggōng de biāozhǔn bù jǐnjǐn shì cáifù.,Wealth is not the only criterion of success.
饼干,bǐnggān,biscuit; cracker; cookie,她正在吃饼干。,Tā zhèng zài chī bǐnggān.,She is eating cookies.
国际,guójì,international,这部手机可以拨打国际电话。,Zhè bù shǒujī kěyǐ bōdǎ guójì diànhuà.,This cell phone can make international calls.
信心,xìnxīn,confidence; faith (in sb. or sth.),我们具有必胜的信心。,Wǒmen jùyǒu bìshèng de xìnxīn.,We're confident of victory.
抬,tái,to lift; to raise (with both palms up); carry (together),他们把柜子抬上车。,Tāmen bǎ guìzi táishàng chē.,They are carrying/moving the cabinet onto the vehicle.
竞争,jìngzhēng,compete,比赛中双方竞争得很激烈。,Bǐsài zhōng shuāngfāng jìngzhēng de hěn jīliè.,Both sides competed fiercely in the game.
汤,tāng,soup; broth,我叫汤姆。,Wǒ jiào Tāngmǔ.,I'm Tom.
作家,zuòjiā,author; writer,我是一个作家。,Wǒ shì yí gè zuòjiā.,I'm a writer.
诚实,chéngshí,honest; honorable,他很诚实，从来不说谎。,Tā hěn chéngshí cónglái bù shuōhuǎng.,He's very honest and never lies.
顾客,gùkè,customer; client,超市里的食品可以任顾客挑选。,Chāoshì lǐ de shípǐn kěyǐ rèn gùkè tiāoxuǎn.,Customers can select any of the foods in the supermarket they wish to.
存,cún,exist; to deposit; to store,我存了一万元。,Wǒ cúnle yíwàn yuán.,I saved 10000 yuan.
香,xiāng,fragrant; savory (Kangxi radical 186),香港是一个国际大都市。,Xiānggǎng shì yī gè guójì dàdūshì.,Hong Kong is an international metropolis.
打扮,dǎban,dress up; put on make up,她打扮得很妖艳。,Tā dǎban de hěn yāoyàn.,She's dolled up gorgeously but coquettishly.
交流,jiāoliú,communicate; exchange; give and take; interaction; to alternate,文化交流很重要。,Wénhuà jiāoliú hěn zhòngyào.,Cultural exchange is important.
年龄,niánlíng,(a person's) age,儿子已经到了上学的年龄。,Érzi yǐjīng dàole shàngxué de niánlíng.,My son is old enough to start school.
小说,xiǎoshuō,novel; fiction,我喜欢看小说。,Wǒ xǐhuan kàn xiǎoshuō.,I like reading novels.
符合,fúhé,in keeping with; in accordance with; conform,这个决定符合现在的情况。,Zhèige juédìng fúhé xiànzài de qíngkuàng.,This decision is in line with the current situation.
交通,jiāotōng,traffic; transportation,这座大桥连接起两岸的交通。,Zhèi zuò dàqiáo liánjiē qǐ Liǎng'àn de jiāotōng.,This bridge links traffic from both sides.
共同,gòngtóng,together; common; joint,我们共同努力吧。,Wǒmen gòngtóng nǔlì ba.,Let's make a joint effort.
稍微,shāowēi,a little bit; slightly,,,
增加,zēngjiā,to increase; to raise; add,我的收入增加了。,Wǒ de shōurù zēngjiā le.,My income has increased.
敲,qiāo,knock; blackmail,他在敲打键盘。,Tā zài qiāodǎ jiànpán.,He's typing on the keyboard.
适应,shìyìng,to suit; to fit; adapt,你一定能适应新工作。,Nǐ yídìng néng shìyìng xīn gōngzuò.,You should surely be able to adapt yourself to the new work.
苦,kǔ,bitter; miserable,英国的 啤酒 比较 苦。,Yīngguóde píjiǔ bǐjiào kǔ.,English beer is rather bitter.
辛苦,xīnkǔ,hard; exhausting; toilsome; laborious,他的工作很辛苦。,Tā de gōngzuò hěn xīnkǔ.,His job is very arduous.
然而,rán'ér,however; yet; but,他来了，然而又走了。,Tā lái le rán'ér yòu zǒu le.,He came but then left.
耐心,nàixīn,to be patient,他在耐心地等待。,Tā zài nàixīn de děngdài.,He's waiting patiently.
将来,jiānglái,the future,我将来想当医生。,Wǒ jiānglái xiǎng dāng yīshēng.,I want to be a doctor in the future.
沙发,shāfā,sofa,这张沙发是朱红色的。,Zhè zhāng shāfā shì zhūhóngsè de.,This sofa is bright red.
最好,zuìhǎo,the best; had better ...; it would be best,毋庸置疑，她是班里最好的学生。,Wúyōng zhìyí tā shì bān lǐ zuì hǎo de xuésheng.,She's undoubtedly the best student in the class.
禁止,jìnzhǐ,to ban; prohibit,这里禁止出入。,Zhèli jìnzhǐ chūrù.,Entry to this place is forbidden.
经济,jīngjì,economy; economic,国家的经济发展很快。,Guójiā de jīngjì fāzhǎn hěn kuài.,The country's economy is developing very rapidly.
座位,zuòwèi,seat; place,这里有很多空座位。,Zhèli yǒu hěnduō kōng zuò wèi.,There are many vacant seats.
购物,gòuwù,go shopping; buy goods,购物车里装满了礼品。,Gòuwùchē lǐ zhuāngmǎn le lǐpǐn.,The shopping cart is full of gifts.
抽烟,chōuyān,to smoke (a cigarette pipe etc.),她在抽烟。,Tā zài chōuyān.,She's smoking.
航班,hángbān,scheduled flight; flight number,部分航班延误了。,Bùfen hángbān yánwù le.,Some flights are delayed.
礼貌,lǐmào,courtesy; politeness; manners,那位先生很有礼貌。,Nà wèi xiānsheng hěn yǒu lǐmào.,That man is extremely polite.
提前,tíqián,shift to an earlier date; bring forward; to advance,他提前到了餐厅。,Tā tíqián dàole cāntīng.,He arrived at the restaurant in advance.
判断,pànduàn,to judge; judgment; to decide,他的判断很准确。,Tā de pànduàn hěn zhǔnquè.,His judgment was very accurate.
胳膊,gēbo,arm,他们向右甩胳膊。,Tāmen xiàngyòu shuǎi gēbo.,They swing their arms to the right.
整理,zhěnglǐ,put in order; arrange; straighten up; to tidy; to pack (luggage),妈妈在整理房间。,Māma zài zhěnglǐ fángjiān.,My mom is tidying the room.
森林,sēnlín,forest,我们去森林里探险。,Wǒmen qù sēnlín lǐ tànxiǎn.,We're going to explore the forest.
同情,tóngqíng,compassion; sympathy,,,
网站,wǎngzhàn,website,这是一个商业网站。,Zhè shì yí gè shāngyè wǎngzhàn.,This is a commercial website.
商量,shāngliang,consult; talk over; discuss,他们在商量新工作。,Tāmen zài shāngliang xīn gōngzuò.,They're discussing the new job.
眼镜,yǎnjìng,glasses; spectacles,她戴着一副眼镜。,Tā dàizhe yī fù yǎnjìng.,She is wearing a pair of glasses.
镜子,jìngzi,mirror,她在照镜子。,Tā zài zhào jìngzi.,She's looking into the mirror.
广播,guǎngbō,broadcast; on the air,我在听英语广播。,Wǒ zài tīng Yīngyǔ guǎngbō.,I'm listening to the English broadcast.
专门,zhuānmén,specialized,这所监狱专门关押政治犯。,Zhè suǒ jiānyù zhuānmén guānyā zhèngzhìfàn.,This prison specializes in incarcerating political prisoners.
弹钢琴,tán gāngqín,play the piano,她在练习弹钢琴。,Tā zài liànxí tán gāngqín.,She's practicing the piano.
尝,cháng,to taste; flavor; (past tense marker),我带你尝一下地方风味。,Wǒ dài nǐ cháng yíxià dìfāng fēngwèi.,Let me take you out to try some of the local cuisine.
流行,liúxíng,spread; prevalent; be popular,今年的流行感冒很厉害。,Jīnnián de liúxíng gǎnmào hěn lìhai.,Flu is widespread this year.
材料,cáiliào,material,木头是很好的建筑材料。,Mùtou shì hěn hǎo de jiànzhù cáiliào.,Wood is a very good construction material.
对话,duìhuà,dialogue; conversation,双方开始了对话。,Shuāngfāng kāishǐle duìhuà.,The two sides started a conversation.
详细,xiángxì,detailed; in detail; minute,他的讲解很详细。,Tā de jiǎngjiě hěn xiángxì.,He gave a detailed explanation.
随着,suízhe,along with; in the wake of,男孩跟随着父亲。,Nánhái gēnsuízhe fùqin.,The boy is following his father.
降落,jiàngluò,descend; to land; put down,飞机降落了。,Fēijī jiàngluò le.,The plane has landed.
功夫,gōngfu,kung fu; skill; art; labor,,,
严格,yángé,strict; stringent; tight,老板对我的工作要求严格。,Lǎobǎn duì wǒ de gōngzuò yāoqiú yángé.,The boss is strict with my work.
日记,rìjì,diary,日记里记载了她的日常生活。,Rìjì lǐ jìzǎile tā de rìcháng shēnghuó.,Her diary is a record of her daily life.
